,image,Text,confidenceOCR
384,images/Cropped Image386.jpg,WR,0.23746809604611022
385,images/Cropped Image385.jpg,WEK,0.1338036708168575
386,images/Cropped Image387.jpg,HWE,0.012199331533391785
387,images/Cropped Image388.jpg,h5Ik,0.020873967558145523
388,images/Cropped Image389.jpg,WE,0.15425635967566675
389,images/Cropped Image390.jpg,UsUM,0.18514353036880493
390,images/Cropped Image394.jpg,FERRV,0.41297822343563606
391,images/Cropped Image391.jpg,DUCHESS,0.9908980403036601
392,images/Cropped Image392.jpg,FERR,0.5669052004814148
393,images/Cropped Image393.jpg,DUCHESS,0.9727716850758317
394,images/Cropped Image395.jpg,SC NORDIC,0.6800487419918938
395,images/Cropped Image396.jpg,SE,0.7565896903037952
396,images/Cropped Image397.jpg,SC NORDIC,0.8116807084783533
397,images/Cropped Image402.jpg,SEA CarGO,0.4366243275445366
398,images/Cropped Image401.jpg,CArcO,0.12087439679567984
399,images/Cropped Image399.jpg,Victor Morta,0.33457635137661557
400,images/Cropped Image398.jpg,Victor Morta ,0.4502706304504245
401,images/Cropped Image400.jpg,SILVERS,0.6593176101421181
402,images/Cropped Image403.jpg,Uelnn,0.0002364980188252233
403,images/Cropped Image405.jpg,SILVER,0.9950546775738626
404,images/Cropped Image404.jpg,WIND,0.6393137486774753
405,images/Cropped Image406.jpg,SILVERE,0.4348729311688144
406,images/Cropped Image407.jpg,HAAA,0.11679733544588089
407,images/Cropped Image408.jpg,ASTOR,0.999950526305628
408,images/Cropped Image409.jpg,ccou,0.05613015219569206
409,images/Cropped Image410.jpg,tMicom,0.020701786736009094
410,images/Cropped Image411.jpg,Jc,0.007229922907516618
411,images/Cropped Image413.jpg,CuR,0.028494432867365027
412,images/Cropped Image417.jpg,Ccv Africa Theee,0.13650952828089705
413,images/Cropped Image412.jpg,cMa c [ M,0.23837327182577592
414,images/Cropped Image416.jpg,Ca,0.1926065477750193
415,images/Cropped Image415.jpg,CGu,0.04592804339092427
416,images/Cropped Image414.jpg,Africa Theer,0.1336636235095235
417,images/Cropped Image418.jpg,cma c 0 M,0.14617493256366929
418,images/Cropped Image419.jpg,COOPER,0.9613804677301107
419,images/Cropped Image420.jpg,COOpER,0.29770118637435833
420,images/Cropped Image422.jpg,Cooper ^,0.10250887773882614
421,images/Cropped Image421.jpg,SEAHAKE,0.9996488067933131
422,images/Cropped Image423.jpg,SEAHAKE,0.999287613900629
423,images/Cropped Image424.jpg,KE,0.8533082701905336
424,images/Cropped Image425.jpg,SEAHAKE,0.9996544845984144
425,images/Cropped Image426.jpg,FLEETWOOd,0.1559382242005984
426,images/Cropped Image427.jpg,mariner,0.45705977047590274
427,images/Cropped Image428.jpg,iuard,0.11838233161931176
428,images/Cropped Image429.jpg,00p,0.3632038902465278
429,images/Cropped Image430.jpg,Tariner,0.33785993123625624
430,images/Cropped Image431.jpg,FLEETWOOD,0.7071450892931703
431,images/Cropped Image433.jpg,Iard,0.21379631757736206
432,images/Cropped Image432.jpg,mariner,0.33075664056918563
433,images/Cropped Image434.jpg,YASMINE ,0.4563276235531741
434,images/Cropped Image435.jpg,W,0.49463046972747193
435,images/Cropped Image436.jpg,IRONMEN:,0.5614551956905255
436,images/Cropped Image438.jpg,ASTRA PERSEUS,0.8323202775948276
437,images/Cropped Image437.jpg,ASTRA PERSEUS,0.93522811442092
438,images/Cropped Image440.jpg,VIRONMENT,0.981566050973648
439,images/Cropped Image439.jpg,Trafexpress,0.9998737990489491
440,images/Cropped Image443.jpg,TRANSFENNCA,0.9738243490921021
441,images/Cropped Image441.jpg,NO SMOKING,0.5891992426077383
442,images/Cropped Image442.jpg,BIT ECO,0.9990743483500201
443,images/Cropped Image445.jpg,NO SMOKING,0.5621498116058288
444,images/Cropped Image444.jpg,BIT ECO,0.9991105376168039
445,images/Cropped Image446.jpg,SAFETY,0.9491234771846705
446,images/Cropped Image447.jpg,FiRST,0.6620105238686236
447,images/Cropped Image448.jpg,95577 10,0.3507114763435086
448,images/Cropped Image449.jpg,MS CHARH,0.6489519541829835
449,images/Cropped Image450.jpg,BAFETY,0.9614241662228887
450,images/Cropped Image451.jpg,First,0.6641401260836233
451,images/Cropped Image452.jpg,AEEaa,0.0006585144502094942
452,images/Cropped Image454.jpg,MS CHARH,0.6921908256054831
453,images/Cropped Image453.jpg,MS CHARH,0.633394098313095
454,images/Cropped Image456.jpg,SAFETY,0.9027643428072063
455,images/Cropped Image457.jpg,FiRST,0.4296807217230286
456,images/Cropped Image455.jpg,9557710,0.5037121132017969
